feature,adjust,hold,lift,other,place,press,rotate,Mean_Importance
x_20_mean_5,0.0005310005470627101,0.0008603331213776996,0.0017322236698886651,0.0017708319881248596,0.0017255746889976694,0.00024123992464149415,0.006370495996659916,0.0018902428481075736
y_9_mean_5,0.00022770399281040276,0.00043166401118186566,0.0007475031530079788,0.0009368036833293354,0.0013991294035381042,0.0009684337600999776,0.00849725728435615,0.0018869278983319735
y_8_std_5,0.004617630974358121,0.004249579055546521,0.00012633700294899838,0.0011914755253799641,0.0003851197703800609,0.00019686959118972992,0.002397838212544364,0.0018806928760496798
lmk_2_speed_mean_5,0.0027532597440525363,0.004137333104172453,0.0009196700900679808,0.0030984159108223435,0.0006138311713593736,3.767750332989255e-05,0.0014720356144816687,0.0018617461626123215
y_5,7.564955401678203e-05,0.007853965742641446,0.00015964727915485213,0.0003126910416310276,0.00041516769493587065,0.0004938223716617756,0.00370901732362819,0.001859994429667135
y_9_std_5,0.0007235281356736321,0.0014295895856810945,0.0001090651114111981,0.000786444947281953,0.0005363032394855503,0.007639071962353456,0.0014833241612056186,0.0018153324490132149
lmk_12_speed_mean_5,0.006749548722781544,0.001913001250583907,0.001528764291632493,0.0010148350318419353,0.0003269394317805661,0.00035258816196915345,0.0008135103562810285,0.001814169606695804
lmk_2_speed,0.0007459738077057479,0.002222167102415881,0.0002880941610996365,0.00031619394396546226,0.0003314321036540281,0.007583906846461852,0.0010734910646206738,0.001794465575703326
z_4_delta,0.00010478023251039182,7.112302057873151e-05,0.011601158577452237,0.0005890492653114437,3.740769060389997e-05,5.099487984871029e-06,0.00014607481803453984,0.0017935275846394454
y_15_mean_5,0.00017936714619027285,0.003282653904551262,0.004401219403361323,0.000577469046866385,0.0009291863772643143,0.0005438076683590466,0.002520367551116018,0.0017762958711012317
z_2,6.524413584857706e-05,0.0002767404412913127,0.0008350769609825138,0.0010283577429921577,0.00822687357740358,0.0003153010057240355,0.0016637189982858902,0.0017730446946468668
x_13,0.0001655599643848613,0.001457748391747504,0.0001147777650149485,0.0006863919974589057,0.00030675695233267804,0.00012325286972722998,0.009497446211121339,0.0017645620216839239
z_5_std_5,0.0011765475787603868,0.0029958010270958292,0.0005905496450480945,0.004804814564309858,0.00036200115996064296,0.0008212878175630337,0.0015243809037932246,0.0017536260995044386
x_10_mean_5,0.004337516356369313,0.0003916646510173744,3.045658882361552e-05,0.0003110639635814691,0.0010575836225767403,0.002755683805932344,0.0033660506660289514,0.0017500028077614012
z_11_std_5,0.002494190287475666,0.0003711265571640219,0.001372433848527686,0.0002895726206710558,0.004257760694259717,9.67457820240061e-05,0.003286635598811462,0.0017383521984190877
z_10_mean_5,0.006847306213457846,0.0015229540973803856,3.999735289121239e-05,0.0014789883354546255,0.000618677937123969,3.636323029918179e-05,0.001623072157331772,0.001738194189134142
z_3,8.670640373779235e-05,0.0005475154447252656,0.0015482817444311266,0.0004706104023168599,0.007376366440603831,4.789752726741472e-05,0.0020348723164142534,0.001730321468499506
z_9_std_5,0.00404362213908955,0.0022542464993466206,0.0003281709919289003,0.0016975103835182445,0.0004071891368691259,0.0006600966608924309,0.002689373084065029,0.0017257441279585576
lmk_17_speed,0.00539165307891591,0.003038878918284962,3.5196176467242464e-05,0.0004332734341690157,7.739417649155227e-05,0.00013285600640935115,0.002970524804802111,0.0017256823707914493
x_19,0.000209764357705275,0.0007213984324173331,0.004770026768334613,0.0004905503660728397,0.0007025037953816415,7.109673122433699e-05,0.0050396569909183005,0.0017149996345791915
y_10,0.001111143084020895,0.0022135117811780845,0.0001654173222001664,0.003332723308801425,0.00028718312534902775,0.00020727567677681548,0.00464713275721513,0.0017091981507916492
z_20_std_5,0.000834272046094973,0.006252680035383068,0.0004453860177798278,0.00025529053580292474,0.0012907863516933217,6.408468590781215e-05,0.0026560177608296724,0.0016855024904988
y_20_mean_5,0.0018081401993448342,0.0007731450556096245,0.0006935895701475646,0.0009445955075703324,0.0011020616404431945,0.0008967083213123775,0.005504533357307409,0.0016746819502479054
y_7_mean_5,0.0024359821452535247,0.0010924610438005438,0.0019716009196728544,0.001392906123091559,0.0009257471986033283,0.0010288602367684592,0.0028743247672951035,0.0016745546334979101
z_13_mean_5,0.00041889193885643423,0.003191612549813564,0.000793612971997717,0.0037778900509343287,0.0010967123682874061,0.0010037629510547862,0.0013548718016124942,0.00166247923322239
z_7_mean_5,0.0034691642811440896,0.0010354619168480962,0.002748603177899911,0.0017036309982829032,0.0008632256541920087,0.000646460195415313,0.0011526243923383425,0.0016598815165886664
y_1,0.001103568859987329,0.0005851605260574319,0.0002458273482114472,0.0008941621483180108,0.0006373117559730348,0.0001197962884507108,0.007955578696832161,0.0016487722319757322
y_0_mean_5,0.0009010421481583591,0.0016085479416708068,0.0008701985020356023,0.0004478235190494051,0.0008828042062412297,0.0004629437168165026,0.0063100408132446,0.0016404858353166439
y_11_mean_5,0.0018714459303838954,0.0005937891176036458,0.00036567321027585907,0.001435967371160278,0.0006354039614143666,0.004520378351821544,0.0020505156969423365,0.001639024805657418
z_14_std_5,0.00022962417761127093,0.002635561170466007,0.006274520482654576,0.00016436345456363456,0.0002156331048146875,0.0005498768487451583,0.0012343511754820018,0.0016148472020481909
z_7,0.0002109800808420514,0.0002268598495564474,0.009013944474634555,0.0004901873573657067,0.0004161123197734707,0.0005258891102099785,0.00041349935017555897,0.0016139246489368239
